Name	Number of Occurrences		FemaleDirIsIn245
David Cronenberg	11		
David D	2		
David Dobkin	1		
David Fincher	6		
David France	1		
David G	3		
David Giles	5		
David Gill	1		
David Gordon Green	3		
David Grubin	8		
David Hand	1		
David Hanson	1		
David Heeley	1		
David Jones	3		
David Kaplan	1		
David Koepp	1		
David Lean	12		
David Lickley	1		
David Lynch	9		
David M	3		
David Mackenzie	1		
David Mamet	1		
David Michod	1		
David Miller	2		
David Mrazek	1		
David O	4		
David Oelhoffen	1		
David Paperny	2		
David Richardson	1		
David Rummel	2		
David Silverman	1		
David Springbett	1		
David Sutherland	1		
David Thompson	1		
David Wachtenheim	1		
David Wallace	2		
David Weissman	1		
David Wellington	1		
David Wilson	1		
David Yates	5		
David Zeiger	1		
David Zlutnick	1		
David Zucker	1		
Davis Guggenheim	3		
Dawn Logsdon	2		
Dawn Porter	1		
Dayna Goldfine	2		
Dean De	1		
Deborah Harse	1		
Deborah J	1		
Deborah Reinisch	1		
Debra Chasnoff	1		
Deirdre Fishel	2		
Delbert Mann	3		
Delmer Daves	1		
Demetria Royals	1		
Denis Bablet	1		
Denis Heroux	1		
Denis Villeneuve	1		
Dennis Hopper	3		
Dennis Smith	1		
Denys Arcand	1		
Deran Sarafian	1		
Derek Jarman	3		
Derek Towers	1		
Desiree Akhavan	1		
Desmond Davis	1		
Dharmasena Pathiraja	1		
Diana Fabianova	1		
Diana S	1		
Diane Crespo	1		
Dick Moder	2		
Didier Baussy	1		
Didier Florent Ouenangare	1		
Diego Quemada	1		
Diego Velasco	1		
Dimitri Doganis	2		
Dina Zvi Riklis	1		
Dirk Dumon	1		
Dirk Olson	1		
Djamila Sahraoui	1		
Djibril Diop Mambety	1		
Djo Tunda Wa Munga	1		
Dom Karukoski	1		
Dominic Allan	1		
Dominique Abel	1		
Don Chaffey	1		
Don Mc	1		
Don Richardson	1		
Don Siegel	4		
Don Taylor	2		
Donald Cammell	1		
Donald Petrie	1		
Donald Siegel	1		
Donna La	1		
Donna Read	1		
Doug Liman	2		
Doug Pray	1		
Douglas Heyes	1		
Douglas J	1		
Douglas Rosenberg	2		
Douglas Sirk	4		
Douglas Trumbull	2		
Douglas W	1		
Dover Kosashvili	1		
Dr	1		
Drea Cooper	1		
Dror Moreh	1		
Dror Shaul	1		
Duane Kubo	1		
Duc Nguyen	1		
Dudley Murphy	1		
Duncan Copp	1		
Duncan Tucker	1		
Dustin Hoffman	1		
Duwayne Dunham	1		
Dziga Vertov	1		
E	2		
Ebtisam Mara	1		
Ed Etsten	3		
Edgar G	2		
Edgar Reitz	2		
Edgar Selwyn	1		
Edgar Wright	2		
Edmond Greville	2		
Edmund Goulding	5		
Edmund Penney	1		
Edo Bertoglio	1		
Eduardo Montes	1		
Eduardo Nunes	1		
Eduardo Villanueva	1		
Edward Bernds	1		
Edward Bianchi	1		
Edward D	1		
Edward Dmytryk	4		
Edward Ludwig	1		
Edward O	1		
Edward Zwick	1		
Edwin Sherin	1		
Efraim Kishon	1		
Egon Gunther	1		
Eileen Thalenberg	2		
Elaina Archer	1		
Elem Klimov	1		
Elena Featherston	1		
Eleonore Faucher	1		
Eli Cohen	1		
Eli Roth	1		
Elia Kazan	9		
Elia Suleiman	2		
Elijah Drenner	1		
Elijah Moshinsky	5		
Elizabeth Arledge	2		
Elizabeth Deane	1		
Elizabeth Le	2		
Ellen Bruno	1		
Ellen Hovde	3		
Elliot Caplan	1		
Elliott Lester	1		
Elliott Nugent	1		
Ellis Rabb	2		
Elyse Steinberg	1		
Emile	1		
Emile Ardolino	1		
Emilio Estevez	1		
Emily Haddad	1		
Emily Lindin	1		
Emma Hindley	1		
Emmanuel Finkiel	1		
Enrico Cerasuolo	1		
Ephraim Kishon	2		
Eran Kolirin	1		
Eran Riklis	3		
Eric Breibart	1		
Eric Bress	1		
Eric Bricker	1		
Eric Darnell	1		
Eric Stange	1		
Erica Jordan	1		
Erich	1		
Erich Von Stroheim	3		
Erik Canuel	1		
Erik Leijonborg	2		
Erling Borgen	1		
Ermanno Olmi	2		
Erna Buffie	1		
Ernest B	2		
Ernesto Ardito	1		
Ernesto Cabellos	1		
Ernesto Mc	1		
Ernst Lubitsch	12		
Errol Morris	6		
Etgar Keret	1		
Ethan H	1		
Eugene Green	1		
Eugene Jarecki	2		
Eugene Lourie	1		
Eugenio Barba	1		
Evgeni Bauer	1		
Eyal Sivan	1		
Eytan Fox	2		
F	9		
Faith Pennick	1		
Farhadi Asghar	1		
Farida Ben Lyazid	1		
Farley Richmond	1		
Federico Fellini	3		
Fedor Ozep	1		
Felicia Lowe	1		
Felix Moeller	1		
Fengliang Yang	1		
Fenton Bailey	1		
Ferid Boughedir	2		
Fernando Meirelles	1		
Fernando Perez	2		
Fernando Spiner	2		
Fiedler Cook	1		
Fielder Cook	1		
Filip Zylber	2		
Fisher Stevens	1		
Flora Gomes	2		
Flora M	1		
Forest Whitaker	1		
Frances	1		
Frances Reid	3		
Francis Ford Coppola	6		
Francis Hanly	1		
Francis Lawrence	3		
Franco Zeffirelli	1		
Francois Girard	1		
Francois Ozon	1		
Francois Truffaut	2		
Francoise Levie	1		
Frank Beyer	2		
Frank Borzage	2		
Frank Capra	9		
Frank Darabont	3		
Frank Martin	1		
Frank Miller	1		
Frank O	1		
Frank Oz	3		
Frank Perry	1		
Frank Pierson	1		
Frank Powell	1		
Frank R	1		
Frank Satenstein	1		
Frank Sinatra	2		
Frank Tashlin	2		
Frank Tuttle	1		
Franklin J	4		
Frantisek Vlacil	1		
Fraser C	1		
Fred Baker	1		
Fred F	1		
Fred M	1		
Fred Mc	1		
Fred Niblo	3		
Fred Schepisi	1		
Fred Zinnemann	6		
Freddie Francis	2		
Frederic Tellier	1		
Frederick Stephani	1		
Fritz Lang	21		
Fruit Chan	1		
Full Duck Productions	1		
G	2		
Gabina Funegra	1		
Gabriel Baur	1		
Gabriele Muccino	1		
Gabrielle C	1		
Gabrielle Provaas	1		
Gabrielle Tenenbaum	1		
Gail Pellett	2		
Gail Willumsen	1		
Gareth Davies	1		
Garin Nugroho	2		
Garry Marshall	2		
Garth Jennings	1		
Gary Deans	1		
Gary Fleder	2		
Gary Halvorson	1		
Gary Hustwit	1		
Gary Johnstone	2		
Gary Leva	2		
Gary Ross	3		
Gary Sinise	1		
Gary Trousdale	3		
Gavin Hood	1		
Gavin Millar	2		
Gemma Cubero	1		
Gene Kelly	3		
Gene Saks	1		
Gene Searchinger	1		
Gene Wilder	1		
Geoff Callan	1		
Geoff Posner	1		
Georg Boch	1		
Georg Helmes	1		
Georg Misch	1		
Georg Stanford Brown	1		
George A	2		
George Armitage	1		
George B	2		
George Burdeau	1		
George C	2		
George Clooney	1		
