Name	Number of Occurrences		FemaleDirIsIn245
Roland Joffe	1		
Roland Portiche	1		
Rolf Schubel	1		
Roman Polanski	8		
Ron Clements	1		
Ron Howard	4		
Ron Meyer	2		
Ronald F	1		
Ronald Neame	5		
Ronald Wilson	1		
Ronaldo Morelos	1		
Rory Kennedy	1		
Roscoe Arbuckle	1		
Rosie Schellenberg	1		
Ross Kauffman	1		
Ross Mc	1		
Rouben Mamoulian	6		
Rowdy Herrington	1		
Rowland V	1		
Roxana Walker	1		
Roy Andersson	1		
Roy Baker	1		
Roy Ward Baker	2		
Ruben Fleischer	1		
Rudi Boon	1		
Rudolph Mate	2		
Ruedi Gerber	1		
Rupert Julian	1		
Rupert Sanders	1		
Russell Mulcahy	1		
Russell Treyz	1		
Ryan Coogler	2		
Ryan Fleck	1		
Ryu Seung	1		
Ryuichi Hiroki	1		
S	3		
Sabaah Folayan	1		
Salvador Aguirre	1		
Sam	1		
Sam Mendes	3		
Sam Peckinpah	3		
Sam Pillsbury	1		
Sam Pollard	2		
Sam Raimi	5		
Sam Wood	10		
Samantha Futerman	1		
Samuel Fuller	2		
Samuel Maoz	1		
Sandra Dickson	1		
Sandy Mc	1		
Sang	2		
Sang Hu	1		
Sanjay Gadhvi	2		
Sanjay Leela Bhansali	3		
Sanjeev Sivan	1		
Santiago Mitre	1		
Sara Lamm	1		
Sarah Colt	2		
Sarah Harding	1		
Sarah Spinks	1		
Satoshi Kon	3		
Satti Khanna	1		
Satyajit Ray	3		
Saul Bass	1		
Saul J	1		
Scandar Copti	1		
Scot Mc	1		
Scott Cooper	1		
Scott Hicks	1		
Scott Sidney	1		
Scott Thigpen	1		
Sean Baker	1		
Sean Fine	1		
Sean S	1		
Sebastian Campos	1		
Sebastian Cordero	1		
Sebastian Junger	1		
Seijun Suzuki	3		
Semih Kaplanoglu	3		
Semyon Aranovich	2		
Serge Bozon	1		
Sergei Bodrov	1		
Sergei Dvortsevoy	1		
Sergei Eisenstein	4		
Sergei Paradjanov	1		
Sergio Arau	1		
Sergio Giordani	2		
Sergio Giral	1		
Sergio Leone	3		
Seth Holt	1		
Seth Kramer	2		
Shai Kannot	1		
Shainee Gabel	1		
Shaji Karun	1		
Shakti Butler	2		
Shamim Sarif	1		
Shaohong Li	1		
Sharon Howard	1		
Sharon I	1		
Sharon Linezo Hong	1		
Sharon Sopher	1		
Shaul	2		
Shawn Levy	2		
Shawney Cohen	1		
Shekhar Kapur	2		
Shelley Williams	1		
Shemi Zarhin	4		
Shimit Amin	1		
Shimon Dotan	1		
Shin Terra	1		
Shinichiro Watanabe	2		
Shinji Aramaki	1		
Shirikiana Aina	1		
Shohei Imamura	2		
Shosuke Murakami	1		
Shuki Levy	1		
Shula Erenberg	1		
Shunji Iwai	1		
Shyam Benegal	3		
Si	1		
Sidney Franklin	1		
Sidney Gilliat	1		
Sidney Hayers	1		
Sidney Lanfield	1		
Sidney Lumet	10		
Sidney M	1		
Sidney Poitier	1		
Silvio Soldini	1		
Simcha Jacobovici	1		
Simisola Opeoluwa	1		
Simon Ardizzone	1		
Simon Curtis	3		
Simon Fellows	1		
Simon Nasht	1		
Simon Stone	1		
Simon Wells	1		
Simon West	1		
Sir Jeremy Isaacs	1		
Slava Tsukerman	1		
Slawomir Grunberg	3		
So	1		
Sonali Fernando	1		
Song Il	1		
Sophie Barthes	1		
Sophie Bissonnette	1		
Sori	1		
Spencer Williams	1		
Spike Jonze	7		
Spike Lee	9		
St	1		
Stacy Keach	2		
Stan Lathan	1		
Stanislav Stanojevic	1		
Stanley Donen	3		
Stanley Kramer	4		
Stanley Kubrick	24		
Stanley Nelson	6		
Stanley Tong	1		
Stanley Tucci	1		
Stefan Sagmeister	1		
Stefanie Jordon	1		
Stefanie Sycholt	1		
Stefen Fangmeier	1		
Stephane Begoin	1		
Stephane Brize	1		
Stephanie Black	3		
Stephen Chow	1		
Stephen Daldry	1		
Stephen Frears	7		
Stephen Gaghan	1		
Stephen Herek	3		
Stephen Ives	5		
Stephen Poliakoff	2		
Stephen Porter	3		
Stephen Schwartz	1		
Stephen Surjik	1		
Stephen Tyler	1		
Stephen Walker	1		
Stephen Whittaker	1		
Sterlin Harjo	1		
Stevan Riley	1		
Steve Binder	1		
Steve Boettcher	1		
Steve James	3		
Steve Jodrell	1		
Steve Mc	3		
Steven Berkoff	1		
Steven Budlong	1		
Steven Lisberger	1		
Steven Robman	1		
Steven Soderbergh	7		
Steven Spielberg	17		
Steven Zaillian	1		
Stevenson J	2		
Steward Bird	1		
Stuart Baird	1		
Stuart Burge	3		
Stuart Cooper	1		
Stuart Gordon	1		
Stuart Heisler	2		
Stuart Patton	1		
Stuart Rosenberg	4		
Stuart Schulberg	1		
Sturla Gunnarsson	1		
Sue Heel	1		
Sue Williams	5		
Sue Wilson	1		
Sufyan Omeish	1		
Sung	1		
Susan Cornwell	1		
Susan Ericsson	1		
Susan Hurley	1		
Susan Levitas	1		
Susan Longmire	1		
Susan Macmillan	1		
Susan Polis Schutz	1		
Susan Steinbach	1		
Susana Munoz	1		
Susannah Ward	2		
Susanne Mason	1		
Susanne Moss	1		
Susie Reid	1		
Sut Jhally	14		
Sydney Macartney	1		
Sydney Pollack	6		
Sylvain Chomet	1		
Sylvia Morales	1		
T	1		
Tad Fettig	1		
Taggart Siegel	1		
Taghreed Elsanhouri	1		
Takashi Ishii	1		
Takashi Miike	2		
Takeshi Kitano	3		
Tamara Tam	1		
Tami Gold	2		
Tan Chui Mui	1		
Tanaka Noboru	1		
Tania Kamal	1		
Tareque Masud	1		
Tarsem Singh	1		
Tarsem Singh Dhandwar	1		
Tarun Mansukhani	1		
Tate Taylor	1		
Tatiana Lioznova	1		
Tawfik Abu Wael	2		
Tawfik Saleh	1		
Tay Garnett	1		
Taylor Hackford	1		
Ted Demme	1		
Ted Kotcheff	2		
Ted Post	15		
Ted Unarce	1		
Teddy Mattera	1		
Teller	1		
Terence Davies	1		
Terence Davis	1		
Terence Fisher	6		
Terence Young	1		
Teresa Prata	1		
Terrence Malick	8		
Terri De	1		
Terry Carlyon	1		
Terry George	1		
Terry Gilliam	6		
Terry Jones	2		
Terry Sanders	2		
Terry Winsor	1		
Terry Zwigoff	2		
Teruo Ishii	1		
The Spierig Brothers	2		
Theo Angelopoulos	3		
Theodore Bezaire	1		
Theodore Melfi	1		
Theodorus Bafaloukos	1		
Therese Shechter	1		
Thomas Arslan	1		
Thomas Grimm	1		
Thomas Jennings	1		
Thomas Lennon	1		
Thomas Lucas	1		
Thomas Ott	1		
Thor Freudenthal	1		
Thorold Dickinson	1		
Thuy Tien Ho	1		
Tia Lessin	3		
Tian Zhuangzhuang	1		
Tim Burton	10		
Tim Fyell	1		
Tim Fywell	1		
Tim Grabham	1		
Tim Hetherington	1		
Tim Hunter	1		
Tim Johnson	1		
Tim Lay	1		
Tim Robbins	2		
Tim Roth	1		
Tim Story	1		
Tim Wolff	2		
Timothy Copestake	2		
Timothy Hines	1		
Timothy Hutton	1		
Timur Bekmambetov	2		
Tito Davison	1		
Tobe Hooper	1		
Tod Browning	2		
Todd Berger	1		
Todd Haynes	5		
Todd Jarrell	1		
Todd Louiso	1		
Todd Solondz	2		
Tolga Ornek	1		
Tom Heinemann	1		
Tom Holland	1		
Tom Hooper	6		
Tom Jackson	1		
Tom Lafia	1		
Tom Mc	3		
Tom O	1		
Tom Page	1		
Tom Roberts	1		
Tom Shankland	1		
Tom Six	1		
Tom Todoroff	2		
Tom Vaughan	1		
Tommy Davis	1		
Tommy Pallotta	1		
Tomoo Ueno	1		
Tonino Valerii	1		
Tony Giglio	1		
Tony Lam	1		
Tony Richardson	2		
Tony Scott	5		
Tony Wesley	1		
Torgeir Wethal	1		
Torrill Kove	1		
Toshiharu Ikeda	1		
Toshihiro Gotoh	1		
Toyoo Ashida	1		
Tracy Heather Strain	1		
Trevor Nunn	1		
Trey Parker	1		
Trinh T	1		
Troy Miller	1		
Tsui Hark	1		
Tulio Demicheli	1		
Tyrone Guthrie	1		
Udayan Prasad	2		
Uli Edel	1		
Ulrich Weiss	1		
Ulu Grosbard	1		
Uri Barbash	1		
Uri Zohar	1		
Ursula Biemann	2		
Vadim Perelman	1		
Vaishali Sinha	1		
Valery Todorovsky	1		
Valliere Richard Auzenne	1		
Vanessa Lapa	1		
Vanessa Tovell	1		
Vic Sarin	1		
Vicki Dunakin	1		
Vicky Funari	1		
Victor Erice	3		
Victor Fleming	6		
Victor Halperin	1		
Victor Khulile Nxumalo	1		
Victor Saville	1		
Victor Schertzinger	2		
Victor Viyuoh	1		
Video Wayne	1		
Vikram Gandhi	1		
Vilgot Sjoman	1		
Vincent Morelli	1		
Vincent Sherman	4		
Vincente Minnelli	9		
Vinnette Carroll	1		
Violeta Ayala	1		
Vitali Manski	1		
Vittorio	1		
Vittorio De Sica	4		
Vladimir Bortko	1		
Vojtech Jasny	1		
Volker Schlondorff	3		
Vsevolod Pudovkin	1		
W	3		
Wael Dabbous	1		
Wallace Worsley	2		
Wally Ashby	1		
Wally Wolodarsky	1		
Walter Bernstein	1		
Walter Hill	1		
Walter Lang	5		
Walter Salles	3		
Walther Ruttmann	1		
Wang Quan An	1		
Warwick Thornton	1		
Wayne Beach	1		
Wayne Coyne	1		
Wayne Wang	2		
Werner Herzog	5		
Wes Anderson	7		
Wes Ball	1		
Wes Craven	1		
Whit Stillman	1		
Will Speck	1		
William A	4		
William Arntz	1		
William Asher	1		
William Ball	2		
William C	1		
William Cameron Menzies	2		
William Crain	1		
William Cran	4		
William Desmond Taylor	1		
William Dieterle	4		
William Friedkin	2		
William Keighley	2		
William Long	1		
William Peters	2		
William Shatner	1		
William Slater	1		
William Wiard	1		
William Wyler	15		
Wim Wenders	3		
Wladyslaw Pasikowski	1		
Wolfgang Petersen	1		
Wolfgang Reitherman	1		
Wolfgang Staude	1		
Wolfgang Staudte	1		
Woodie King	1		
Woody Allen	25		
Xan Cassavetes	1		
Xavier Villetard	1		
Xiao Lang	1		
Xiaoli Zhou	1		
Yakov Protazanov	1		
Yale Strom	5		
Yang Yun	1		
Yash Chopra	2		
Yasujiro Ozu	4		
Yeo Kyun	1		
Yesim Ustaoglu	1		
Yimou Zhang	1		
Yip Wai	1		
Yoav Potash	1		
Yorgos Lanthimos	1		
Yoshiaki Kawajiri	1		
Yoshiyuki Tomino	1		
Youghi Yang	1		
Young Man Kang	1		
Youssef Chahine	3		
Yousseff Chahine	1		
Yukihiko Tsutsumi	2		
Yulie Gerstel	1		
Yunah Hong	1		
Yung Chang	1		
Yuval Adler	1		
Yvonne Welbon	1		
Zach Braff	1		
Zacharias Kunuk	1		
Zack Godshall	1		
Zack Snyder	2		
Zaki Hj	1		
Zalman King	2		
Zbigniew Kuzminski	1		
Zeinabu Irene Davis	1		
Zeresenay Berhane Mehari	1		
Zeze Gamboa	1		
Zeze Takahisa	1		
Zhang Yimonu	1		
Zhang Yimou	7		
Zinon Ramos	1		
Zola Maseko	1		
Zoltan Korda	1		
J. Darin Wales	1		
J. Lee Thompson	4		
J.J. Abrams	2		
J.P. Dutta	2		
J.T. Takagi	1		
